day,baseID,landLabel,location,team,forces,isPort,isShip,baseStatus,baseInventoryActual,baseInventoryBroker,fuelOutbound,fuelInboundPipeline,pipeline,pipelineStatus,reorderPoint,reorderQuantity,vehicleAirCount,vehicleGroundCount,vehicleSeaCount
"0","301","WO_West_Blue","(122.76089515169087, -17.221529447115387)","Blue","[Army, Navy]","Y","N","Normal","99630.27","Unknown","0.0","0.0","Y","Operational","Unknown","Unknown","0","799","6"
"0","306","WO_West_Blue","(67.87244336390552, -49.31776109632555)","Blue","[Marine_Corps, Navy]","Y","N","Normal","667987.5","Unknown","0.0","0.0","Y","Operational","Unknown","Unknown","0","0","0"
"0","313","K_Philippines","(-61.110670247832985, 36.63238324175825)","Blue","[Marine_Corps, Navy]","Y","N","Normal","2707566.8","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","0","0","11"
"0","325","WO_West_Blue","(51.49190994689292, -25.487154447115387)","Blue","[Air_Force, Marine_Corps, Navy]","Y","N","Normal","3.1412238E7","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","0","0","3"
"0","352","WO_West_Blue","(64.85615643312784, 0.4673119848901024)","Blue","[Navy, Air_Force, Marine_Corps]","Y","N","Normal","3.0330584E7","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","146","180","7"
"0","369","WO_West_Blue","(120.75757691368574, -13.634776356456044)","Blue","[Air_Force, Army, Navy, Marine_Corps]","Y","N","Normal","4389205.0","Unknown","0.0","0.0","Y","Operational","Unknown","Unknown","52","553","2"
"0","383","J_Kwaj","(-15.434316961833105, 12.802423162774716)","Blue","[Army, Air_Force, Navy]","Y","N","Normal","10408.68","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","0","0","0"
"0","386","WO_West_Blue","(77.29387628189477, 2.775186727335168)","Blue","[Army, Navy]","Y","N","Normal","51408.914","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","12","374","8"
"0","389","F_Okinawa","(-33.08136168889635, 27.68437714629121)","Blue","[Air_Force, Army, Navy, Marine_Corps]","Y","N","Normal","2.14396112E8","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","64","1135","11"
"0","399","WO_West_Blue","(72.68004231015749, 0.9150283310439562)","Blue","[Navy, Army, Marine_Corps, Air_Force]","Y","N","Normal","663040.9","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","40","658","5"
"0","409","WO_West_Blue","(66.35936403140641, 2.6621415693681456)","Blue","[Army, Air_Force, Marine_Corps, Navy]","Y","N","Normal","40890.664","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","165","321","1"
"0","414","WO_West_Blue","(117.19834460078135, 2.744848901098905)","Blue","[Air_Force, Marine_Corps, Navy]","Y","N","Normal","8345458.0","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","23","60","1"
"0","423","WO_West_Blue","(63.586286587413014, 2.9232593578296786)","Blue","[Air_Force, Army, Navy]","Y","N","Normal","2736541.2","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","154","343","6"
"0","434","L_Hawaii","(2.9742676794652425, -5.269563444368131)","Blue","[Navy, Air_Force, Marine_Corps]","Y","N","Normal","1.32276824E8","Unknown","0.0","0.0","Y","Operational","Unknown","Unknown","38","2362","18"
"0","464","WO_West_Blue","(59.68701595119643, 3.325409941620876)","Blue","[Navy, Army, Marine_Corps, Air_Force]","Y","N","Normal","204253.97","Unknown","0.0","0.0","N","N/A","Unknown","Unknown","68","661","0"
