combatMissionId,cuvgId,team,timestampMissionStart,locationStart,startBaseID,locationTarget,timestampMissionEnd,locationEndPlan,locationEndActual,endBaseId,domain,missionProfile,forces,cuvgFunctions,milesPlan,fuelConsumedPlan,milesActual,fuelConsumedActual,winTeam,blueDamaged,redDamaged
"414","1303","Blue","1209600.0","(-57.64131546020508, 21.120878219604492)","Unknown","(-61.089437851239126, 13.645051161046366)","1215120.0","(-57.641245103016196, 21.12087850985898)","(-57.641245103016196, 21.12087850985898)","37451","Air","airToSeaAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","1128.5098","25077.994","1128.5098","25077.994","Blue","0","1"
"436","1267","Blue","1213200.0","(-73.50836181640625, 26.70024299621582)","Unknown","(-73.60527558901805, 20.2118743225126)","1218060.0","(-73.50827796150072, 26.70024571365431)","(-73.50827796150072, 26.70024571365431)","37284","Air","airToSeaAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","966.6497","25777.324","966.6497","25777.324","Red","1","0"
"437","4894","Red","1213200.0","(-86.7538117673721, 19.829136645520293)","1762","(-73.61229650383348, 20.2189234083889)","1218180.0","(-86.7538117673721, 19.829136645520293)","(-86.7538117673721, 19.829136645520293)","1762","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","1593.5532","33298.125","1593.5532","33298.125","Red","1","0"
"426","1265","Blue","1219560.0","(-73.50836181640625, 26.70024299621582)","Unknown","(-71.70546206256546, 26.747253744494504)","1221840.0","(-73.50827796150072, 26.70024571365431)","(-73.50827796150072, 26.70024571365431)","37284","Air","airToAirAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","222.60191","5936.0503","222.60191","5936.0503","Red","1","0"
"426","1269","Blue","1219560.0","(-73.50836181640625, 26.70024299621582)","Unknown","(-71.70546206256546, 26.747253744494504)","1221840.0","(-73.50827796150072, 26.70024571365431)","(-73.50827796150072, 26.70024571365431)","37284","Air","airToAirAttack","Navy","[AerialReconAir]","222.60191","989.34186","222.60191","989.34186","Red","1","0"
"451","4838","Red","1218600.0","(-70.74086888429373, 7.84636847527473)","1580","(-73.98532231821785, 20.592122389164416)","1224540.0","(-70.74086888429373, 7.84636847527473)","(-70.74086888429373, 7.84636847527473)","1580","Air","airToAirAttack","Air_Force","[AerialAttackAir, AerialAttackWater]","1902.3466","51107.81","1902.3466","51107.81","Red","1","0"
"450","1305","Blue","1216800.0","(-57.64131546020508, 21.120878219604492)","Unknown","(-74.09122582089867, 20.69759971751537)","1226340.0","(-57.641245103016196, 21.12087850985898)","(-57.641245103016196, 21.12087850985898)","37451","Air","airToSeaAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","2012.1223","53656.59","2012.1223","53656.59","Red","1","0"
"443","1273","Blue","1220940.0","(-73.50836181640625, 26.70024299621582)","Unknown","(-71.70546206256546, 26.747253744494504)","1228860.0","(-73.50827796150072, 26.70024571365431)","(-73.50827796150072, 26.70024571365431)","37284","Air","airToAirAttack","Navy","[AerialAttackMarineRotary, AerialReconAir]","222.60191","3591.9856","222.60191","3591.9856","Red","1","0"
"443","1263","Blue","1220940.0","(-73.50836181640625, 26.70024299621582)","Unknown","(-71.70546206256546, 26.747253744494504)","1228860.0","(-73.50827796150072, 26.70024571365431)","(-73.50827796150072, 26.70024571365431)","37284","Air","airToAirAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","222.60191","4946.709","222.60191","4946.709","Red","1","0"
"432","1283","Blue","1213200.0","(-49.599552154541016, 7.2935590744018555)","545","(-58.05551872863508, 7.752500429258234)","1229460.0","(-49.599537841196366, 7.293546085793574)","(-49.599537841196366, 7.293546085793574)","37368","Air","airToGroundAttack","Navy","[AerialAttackAir, AerialAttackWater, AerialAttackGround]","1160.1309","30936.82","1160.1309","30936.82","Blue","0","1"
