combatMissionID,combatant,timestampMissionStart,missionProfile,subFunc,idealQuantity,minQuantity,numAvailable,fullMissionCredit
410,Blue,1209600.0,airToGroundAttack,AerialAttackGround,8,4,10,0.8571428571428571
410,Blue,1209600.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
410,Blue,1209600.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
411,Red,1217040.0,airToAirAttack,AerialAttackAir,8,4,10,1.0
411,Red,1217040.0,airToAirAttack,AerialReconAir,2,0,4,1.0
412,Blue,1209600.0,airToGroundBomb,AerialBomb,2,1,11,1.0
413,Red,1231620.0,airToAirAttack,AerialAttackAir,8,4,16,0.8
413,Red,1231620.0,airToAirAttack,AerialReconAir,2,0,0,0.8
414,Blue,1209600.0,airToSeaAttack,AerialAttackWater,8,4,10,0.8571428571428571
414,Blue,1209600.0,airToSeaAttack,AerialAttackAir,4,2,10,0.8571428571428571
414,Blue,1209600.0,airToSeaAttack,AerialReconMarine,2,0,0,0.8571428571428571
417,Blue,1209780.0,groundToGroundIndirect,GroundAttack,3,1,4,1.0
417,Blue,1209780.0,groundToGroundIndirect,RifleCompany,3,1,3,1.0
417,Blue,1209780.0,groundToGroundIndirect,GroundAttackMissile,3,1,42,1.0
418,Blue,1209600.0,seaToGroundAttack,MarineAttackLarge,2,1,8,1.0
418,Blue,1209600.0,seaToGroundAttack,MarineAttackSmall,2,1,2,1.0
418,Blue,1209600.0,seaToGroundAttack,AerialReconMarine,2,0,3,1.0
420,Blue,0.0,brouhaha,MarineAttackLarge,2,1,0,0.0
420,Blue,0.0,brouhaha,MarineAttackSmall,2,1,2,0.0
420,Blue,0.0,brouhaha,AerialReconMarine,2,0,3,0.0
421,Red,1209600.0,airToGroundAttack,AerialAttackGround,8,4,21,1.0
421,Red,1209600.0,airToGroundAttack,AerialAttackAir,4,2,12,1.0
421,Red,1209600.0,airToGroundAttack,AerialReconGround,2,0,8,1.0
422,Blue,1221120.0,airToAirAttack,AerialAttackAir,8,4,10,1.0
422,Blue,1221120.0,airToAirAttack,AerialReconAir,2,0,4,1.0
423,Red,1209600.0,airToGroundBomb,AerialBomb,2,1,12,1.0
424,Blue,1223700.0,airToAirAttack,AerialAttackAir,8,4,14,0.8
424,Blue,1223700.0,airToAirAttack,AerialReconAir,2,0,0,0.8
425,Red,1209600.0,airToSeaAttack,AerialAttackWater,8,4,5,0.7857142857142857
425,Red,1209600.0,airToSeaAttack,AerialAttackAir,4,2,22,0.7857142857142857
425,Red,1209600.0,airToSeaAttack,AerialReconMarine,2,0,3,0.7857142857142857
426,Blue,1219560.0,airToAirAttack,AerialAttackAir,8,4,12,1.0
426,Blue,1219560.0,airToAirAttack,AerialReconAir,2,0,4,1.0
427,Red,2204100.0,groundToGroundDirect,RifleCompany,4,1,4,1.0
427,Red,2204100.0,groundToGroundDirect,CavalryTroop,3,1,3,1.0
427,Red,2204100.0,groundToGroundDirect,ArmorCompany,6,2,6,1.0
427,Red,2204100.0,groundToGroundDirect,FieldArtilleryBattery,3,1,3,1.0
427,Red,2204100.0,groundToGroundDirect,DistributionCompany,1,1,1,1.0
429,Red,1209600.0,seaToGroundAttack,MarineAttackLarge,2,1,5,1.0
429,Red,1209600.0,seaToGroundAttack,MarineAttackSmall,2,1,2,1.0
429,Red,1209600.0,seaToGroundAttack,AerialReconMarine,2,0,3,1.0
431,Red,1209600.0,brouhaha,MarineAttackLarge,2,1,7,1.0
431,Red,1209600.0,brouhaha,MarineAttackSmall,2,1,2,1.0
431,Red,1209600.0,brouhaha,AerialReconMarine,2,0,3,1.0
432,Blue,1213200.0,airToGroundAttack,AerialAttackGround,8,4,12,0.8571428571428571
432,Blue,1213200.0,airToGroundAttack,AerialAttackAir,4,2,12,0.8571428571428571
432,Blue,1213200.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
434,Blue,1213200.0,airToGroundBomb,AerialBomb,2,1,10,1.0
435,Red,1234140.0,airToAirAttack,AerialAttackAir,8,4,19,0.8
435,Red,1234140.0,airToAirAttack,AerialReconAir,2,0,0,0.8
436,Blue,1213200.0,airToSeaAttack,AerialAttackWater,8,4,12,0.8571428571428571
436,Blue,1213200.0,airToSeaAttack,AerialAttackAir,4,2,12,0.8571428571428571
436,Blue,1213200.0,airToSeaAttack,AerialReconMarine,2,0,0,0.8571428571428571
437,Red,1213200.0,airToAirAttack,AerialAttackAir,8,4,14,0.8
437,Red,1213200.0,airToAirAttack,AerialReconAir,2,0,0,0.8
438,Red,1213200.0,airToGroundAttack,AerialAttackGround,8,4,14,1.0
438,Red,1213200.0,airToGroundAttack,AerialAttackAir,4,2,16,1.0
438,Red,1213200.0,airToGroundAttack,AerialReconGround,2,0,21,1.0
439,Blue,1232940.0,airToAirAttack,AerialAttackAir,8,4,10,1.0
439,Blue,1232940.0,airToAirAttack,AerialReconAir,2,0,4,1.0
440,Red,1213200.0,airToGroundBomb,AerialBomb,2,1,13,1.0
442,Red,1213200.0,airToSeaAttack,AerialAttackWater,8,4,14,1.0
442,Red,1213200.0,airToSeaAttack,AerialAttackAir,4,2,30,1.0
442,Red,1213200.0,airToSeaAttack,AerialReconMarine,2,0,3,1.0
443,Blue,1220940.0,airToAirAttack,AerialAttackAir,8,4,10,0.9
443,Blue,1220940.0,airToAirAttack,AerialReconAir,2,0,1,0.9
446,Blue,1216800.0,airToGroundAttack,AerialAttackGround,8,4,10,0.8571428571428571
446,Blue,1216800.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
446,Blue,1216800.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
447,Red,1226820.0,airToAirAttack,AerialAttackAir,8,4,18,0.8
447,Red,1226820.0,airToAirAttack,AerialReconAir,2,0,0,0.8
448,Blue,1216800.0,airToGroundBomb,AerialBomb,2,1,12,1.0
449,Red,1261680.0,airToAirAttack,AerialAttackAir,8,4,24,0.8
449,Red,1261680.0,airToAirAttack,AerialReconAir,2,0,0,0.8
450,Blue,1216800.0,airToSeaAttack,AerialAttackWater,8,4,12,0.8571428571428571
450,Blue,1216800.0,airToSeaAttack,AerialAttackAir,4,2,12,0.8571428571428571
450,Blue,1216800.0,airToSeaAttack,AerialReconMarine,2,0,0,0.8571428571428571
451,Red,1218600.0,airToAirAttack,AerialAttackAir,8,4,18,0.8
451,Red,1218600.0,airToAirAttack,AerialReconAir,2,0,0,0.8
452,Red,1216800.0,airToGroundAttack,AerialAttackGround,8,4,17,0.8571428571428571
452,Red,1216800.0,airToGroundAttack,AerialAttackAir,4,2,15,0.8571428571428571
452,Red,1216800.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
453,Blue,1228140.0,airToAirAttack,AerialAttackAir,8,4,10,0.8
453,Blue,1228140.0,airToAirAttack,AerialReconAir,2,0,0,0.8
454,Red,1216800.0,airToGroundBomb,AerialBomb,2,1,12,1.0
455,Blue,1235700.0,airToAirAttack,AerialAttackAir,8,4,10,0.8
455,Blue,1235700.0,airToAirAttack,AerialReconAir,2,0,0,0.8
456,Red,1216800.0,airToSeaAttack,AerialAttackWater,8,4,19,1.0
456,Red,1216800.0,airToSeaAttack,AerialAttackAir,4,2,19,1.0
456,Red,1216800.0,airToSeaAttack,AerialReconMarine,2,0,3,1.0
458,Blue,1220400.0,airToGroundAttack,AerialAttackGround,8,4,10,0.8571428571428571
458,Blue,1220400.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
458,Blue,1220400.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
459,Red,1220400.0,airToAirAttack,AerialAttackAir,8,4,15,1.0
459,Red,1220400.0,airToAirAttack,AerialReconAir,2,0,21,1.0
460,Blue,1220400.0,airToGroundBomb,AerialBomb,2,1,11,1.0
461,Red,1246320.0,airToAirAttack,AerialAttackAir,8,4,10,1.0
461,Red,1246320.0,airToAirAttack,AerialReconAir,2,0,5,1.0
462,Blue,1220400.0,airToSeaAttack,AerialAttackWater,8,4,10,0.8571428571428571
462,Blue,1220400.0,airToSeaAttack,AerialAttackAir,4,2,10,0.8571428571428571
462,Blue,1220400.0,airToSeaAttack,AerialReconMarine,2,0,0,0.8571428571428571
464,Red,1220400.0,airToGroundAttack,AerialAttackGround,8,4,19,0.8571428571428571
464,Red,1220400.0,airToGroundAttack,AerialAttackAir,4,2,10,0.8571428571428571
464,Red,1220400.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
465,Blue,1239600.0,airToAirAttack,AerialAttackAir,8,4,12,0.8
465,Blue,1239600.0,airToAirAttack,AerialReconAir,2,0,0,0.8
466,Red,1220400.0,airToGroundBomb,AerialBomb,2,1,12,1.0
467,Blue,1250100.0,airToAirAttack,AerialAttackAir,8,4,15,0.8
467,Blue,1250100.0,airToAirAttack,AerialReconAir,2,0,0,0.8
468,Red,1220400.0,airToSeaAttack,AerialAttackWater,8,4,18,1.0
468,Red,1220400.0,airToSeaAttack,AerialAttackAir,4,2,18,1.0
468,Red,1220400.0,airToSeaAttack,AerialReconMarine,2,0,3,1.0
470,Blue,1224000.0,airToGroundAttack,AerialAttackGround,8,4,12,0.8571428571428571
470,Blue,1224000.0,airToGroundAttack,AerialAttackAir,4,2,12,0.8571428571428571
470,Blue,1224000.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
471,Red,1227360.0,airToAirAttack,AerialAttackAir,8,4,14,1.0
471,Red,1227360.0,airToAirAttack,AerialReconAir,2,0,7,1.0
472,Blue,1224000.0,airToGroundBomb,AerialBomb,2,1,10,1.0
473,Red,1290960.0,airToAirAttack,AerialAttackAir,8,4,14,1.0
473,Red,1290960.0,airToAirAttack,AerialReconAir,2,0,7,1.0
474,Blue,1224000.0,airToSeaAttack,AerialAttackWater,8,4,12,0.8571428571428571
474,Blue,1224000.0,airToSeaAttack,AerialAttackAir,4,2,12,0.8571428571428571
474,Blue,1224000.0,airToSeaAttack,AerialReconMarine,2,0,0,0.8571428571428571
475,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
475,Red,0.0,airToAirAttack,AerialReconAir,2,0,5,0.0
476,Red,0.0,airToGroundAttack,AerialAttackGround,8,4,15,0.0
476,Red,0.0,airToGroundAttack,AerialAttackAir,4,2,0,0.0
476,Red,0.0,airToGroundAttack,AerialReconGround,2,0,0,0.0
477,Red,1224000.0,airToGroundBomb,AerialBomb,2,1,11,1.0
479,Red,0.0,airToSeaAttack,AerialAttackWater,8,4,0,0.0
479,Red,0.0,airToSeaAttack,AerialAttackAir,4,2,0,0.0
479,Red,0.0,airToSeaAttack,AerialReconMarine,2,0,3,0.0
480,Blue,1227600.0,airToGroundAttack,AerialAttackGround,8,4,12,0.8571428571428571
480,Blue,1227600.0,airToGroundAttack,AerialAttackAir,4,2,12,0.8571428571428571
480,Blue,1227600.0,airToGroundAttack,AerialReconGround,2,0,0,0.8571428571428571
481,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
481,Red,0.0,airToAirAttack,AerialReconAir,2,0,6,0.0
482,Blue,1227600.0,airToGroundBomb,AerialBomb,2,1,12,1.0
483,Red,0.0,airToAirAttack,AerialAttackAir,8,4,0,0.0
483,Red,0.0,airToAirAttack,AerialReconAir,2,0,7,0.0
484,Blue,1227600.0,airToSeaAttack,AerialAttackWater,8,4,18,0.8571428571428571
484,Blue,1227600.0,airToSeaAttack,AerialAttackAir,4,2,28,0.8571428571428571
