cuvgID,name,team,forces,cuvgFunctions,vehicleCount
"10","blue_1_cocom.1_Pacific_Fleet.1_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"12","blue_1_cocom.1_Pacific_Fleet.2_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"14","blue_1_cocom.1_Pacific_Fleet.3_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"16","blue_1_cocom.1_Pacific_Fleet.4_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"18","blue_1_cocom.1_Pacific_Fleet.5_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"20","blue_1_cocom.1_Pacific_Fleet.6_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"22","blue_1_cocom.1_Pacific_Fleet.7_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"24","blue_1_cocom.1_Pacific_Fleet.8_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"26","blue_1_cocom.1_Pacific_Fleet.9_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"28","blue_1_cocom.1_Pacific_Fleet.10_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"31","blue_3_cocom.3_Pacific_Fleet.21_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"33","blue_3_cocom.3_Pacific_Fleet.22_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"35","blue_3_cocom.3_Pacific_Fleet.23_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"37","blue_3_cocom.3_Pacific_Fleet.24_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"39","blue_3_cocom.3_Pacific_Fleet.25_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"41","blue_3_cocom.3_Pacific_Fleet.26_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"43","blue_3_cocom.3_Pacific_Fleet.27_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"45","blue_3_cocom.3_Pacific_Fleet.28_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"47","blue_3_cocom.3_Pacific_Fleet.29_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"49","blue_3_cocom.3_Pacific_Fleet.30_Littoral_Combat_Ship_Water","Blue","Navy","[MarineAttackSmall]","1"
"56","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Cavalry_Squadron.1_Cavalry_Squadron_Vehicles_Land","Blue","Army","[GroundTransport, GroundAttackMissile]","80"
"58","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Cavalry_Squadron.1_HQ_Troop_Cavalry_Land","Blue","Army","[GroundTransport, GroundResupply]","37"
"60","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Cavalry_Squadron.1_Cavalry_Troop_a_Land","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","19"
"62","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Cavalry_Squadron.1_Cavalry_Troop_b_Land","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","19"
"64","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Cavalry_Squadron.1_Cavalry_Troop_c_Land","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","19"
"67","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_a.1_HQ_Company_a_Land","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","51"
"69","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_a.1_Rifle_Company_a_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"72","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_a.1_Armor_Company_a.a_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"74","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_a.1_Armor_Company_a.b_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"77","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_b.1_HQ_Company_b_Land","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","51"
"79","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_b.1_Rifle_Company_b_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"81","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_b.1_Armor_Company_b.a_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"82","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined-Arms_Battalion_b.1_Armor_Company_b.b_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"85","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined_Arms_Battalion_(Infantry)_c.1_HQ_Company_c_Land","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","51"
"87","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined_Arms_Battalion_(Infantry)_c.1_Rifle_Company_c.a_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"88","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined_Arms_Battalion_(Infantry)_c.1_Rifle_Company_c.b_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"90","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Combined_Arms_Battalion_(Infantry)_c.1_Armor_Company_c_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"93","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Engineer_Battalion.1_Signal_Company_Land","Blue","Army","[GroundTransport]","20"
"95","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Engineer_Battalion.1_Military_Intelligence_Company_Land","Blue","Army","[GroundTransport, GroundRecon]","32"
"97","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Engineer_Battalion.1_Combat_Engineer_Company_a_Land","Blue","Army","[GroundTransport, GroundEngineer, GroundAttackMissile, GroundAttack]","38"
"99","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Engineer_Battalion.1_Combat_Engineer_Company_b_Land","Blue","Army","[GroundTransport, GroundEngineer, GroundIntel, GroundAttackMissile, GroundAttack]","36"
"102","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Forward_Company_(Field_Artillery_Battalion)_Land","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundRescue]","56"
"104","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Forward_Company_(Cavalry_Squadron)_Land","Blue","Army","[GroundTransport, GroundUtility, GroundRescue]","29"
"106","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Forward_Company_(Combined-Arms_Battalion_-_Infantry)_a_Land","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","47"
"108","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Forward_Company_(Combined-Arms_Battalion_-_Armor)_b_Land","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","47"
"110","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Forward_Company_(Brigade_Engineer_Battalion)_Land","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundRescue]","40"
"112","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Forward_Company_(Combined-Arms_Battalion_-_Armor)_Land","Blue","Army","[GroundTransport, GroundUtility, GroundResupply, GroundAttackMissile, GroundRescue]","47"
"114","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Medical_Company_Land","Blue","Army","[GroundTransport, GroundRescue]","32"
"116","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Field_Maintenance_Company_Land","Blue","Army","[GroundTransport, GroundUtility, GroundAttackMissile]","37"
"118","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Brigade_Support_Battalion.1_Distribution_Company_Land","Blue","Army","[DistributionCompany, GroundUtility, GroundTransport, GroundResupply, GroundEngineer]","70"
"121","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Field_Artillery_Battalion.1_Field_Artillery_Battery_a_Land","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","28"
"123","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Field_Artillery_Battalion.1_Field_Artillery_Battery_b_Land","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","34"
"125","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_1.1_Field_Artillery_Battalion.1_Field_Artillery_Battery_c_Land","Blue","Army","[FieldArtilleryBattery, GroundTransport, GroundUtility, GroundAttackMissile]","34"
"129","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Cavalry_Squadron.2_Cavalry_Squadron_Vehicles_Land","Blue","Army","[GroundTransport, GroundAttackMissile]","80"
"131","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Cavalry_Squadron.2_HQ_Troop_Cavalry_Land","Blue","Army","[GroundTransport, GroundResupply]","37"
"133","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Cavalry_Squadron.2_Cavalry_Troop_a_Land","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","19"
"135","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Cavalry_Squadron.2_Cavalry_Troop_b_Land","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","19"
"137","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Cavalry_Squadron.2_Cavalry_Troop_c_Land","Blue","Army","[CavalryTroop, GroundTransport, GroundAttackMissile]","19"
"140","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_a.2_HQ_Company_a_Land","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","51"
"142","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_a.2_Rifle_Company_a_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"144","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_a.2_Armor_Company_a.a_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"145","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_a.2_Armor_Company_a.b_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"148","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_b.2_HQ_Company_b_Land","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","51"
"150","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_b.2_Rifle_Company_b_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"152","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_b.2_Armor_Company_b.a_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"153","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined-Arms_Battalion_b.2_Armor_Company_b.b_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"156","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined_Arms_Battalion_(Infantry)_c.2_HQ_Company_c_Land","Blue","Army","[GroundTransport, GroundAttackMissile, GroundUtility, GroundResupply]","51"
"158","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined_Arms_Battalion_(Infantry)_c.2_Rifle_Company_c.a_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"159","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined_Arms_Battalion_(Infantry)_c.2_Rifle_Company_c.b_Land","Blue","Army","[RifleCompany, GroundTransport, GroundAttackMissile]","18"
"161","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Combined_Arms_Battalion_(Infantry)_c.2_Armor_Company_c_Land","Blue","Army","[ArmorCompany, GroundTransport, GroundAttackMissile]","18"
"164","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Brigade_Engineer_Battalion.2_Signal_Company_Land","Blue","Army","[GroundTransport]","20"
"166","blue_2_cocom.1_Army_Pacific.1_8th_Army.1_2nd_Infantry_Division.1_Rotational_Armored_Brigade_Combat_2.2_Brigade_Engineer_Battalion.2_Military_Intelligence_Company_Land","Blue","Army","[GroundTransport, GroundRecon]","32"
